"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"MEADOC","GRA.Clearwater.Selway.SW1.SW2.MEADOC","GRA","Clearwater","Selway","SW1","SW2","MEADOC","","","","",""
"MINKC","GRA.Clearwater.Selway.SW1.SW2.MINKC","GRA","Clearwater","Selway","SW1","SW2","MINKC","","","","",""
"MOOS2C","GRA.Clearwater.Selway.SW1.SW2.MOOS2C","GRA","Clearwater","Selway","SW1","SW2","MOOS2C","","","","",""
"MOOS2N","GRA.Clearwater.Selway.SW1.SW2.MOOS2N","GRA","Clearwater","Selway","SW1","SW2","MOOS2N","","","","",""
"RUNNIC","GRA.Clearwater.Selway.SW1.SW2.RUNNIC","GRA","Clearwater","Selway","SW1","SW2","RUNNIC","","","","",""
"SELWY2","GRA.Clearwater.Selway.SW1.SW2.SELWY2","GRA","Clearwater","Selway","SW1","SW2","SELWY2","","","","",""
"WHITCC","GRA.Clearwater.Selway.SW1.SW2.WHITCC","GRA","Clearwater","Selway","SW1","SW2","WHITCC","","","","",""
"LRL","GRA.Clearwater.Lochsa.LRL","GRA","Clearwater","Lochsa","LRL","","","","","","",""
"LRU","GRA.Clearwater.Lochsa.LRL.LRU","GRA","Clearwater","Lochsa","LRL","LRU","","","","","",""
"BIGFLC","GRA.Clearwater.Lochsa.LRL.LRU.BIGFLC","GRA","Clearwater","Lochsa","LRL","LRU","BIGFLC","","","","",""
"BOULDC","GRA.Clearwater.Lochsa.LRL.LRU.BOULDC","GRA","Clearwater","Lochsa","LRL","LRU","BOULDC","","","","",""
"BOUTRP","GRA.Clearwater.Lochsa.LRL.LRU.BOUTRP","GRA","Clearwater","Lochsa","LRL","LRU","BOUTRP","","","","",""
"BRUSHC","GRA.Clearwater.Lochsa.LRL.LRU.BRUSHC","GRA","Clearwater","Lochsa","LRL","LRU","BRUSHC","","","","",""
"CANYOC","GRA.Clearwater.Lochsa.LRL.LRU.CANYOC","GRA","Clearwater","Lochsa","LRL","LRU","CANYOC","","","","",""
"CFCTRP","GRA.Clearwater.Lochsa.LRL.LRU.CFCTRP","GRA","Clearwater","Lochsa","LRL","LRU","CFCTRP","","","","",""
"COLTC","GRA.Clearwater.Lochsa.LRL.LRU.COLTC","GRA","Clearwater","Lochsa","LRL","LRU","COLTC","","","","",""
